AMARAJABAT,892.0
AMBUJACEM,285.55
BORORENEW,273.0
DEEPAKNTR,1576.0
IRFC,24.55
QUESS,696.6
TATAMOTORS,319.0
ICICIB22,37.56
NIFTYBEES,159.91
